trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599631492053,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492054,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492055,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492056,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492417,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492418,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492419,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492420,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492421,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492422,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492423,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492424,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492425,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492426,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492427,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492428,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492429,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492430,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492431,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492432,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492433,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492434,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492435,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492436,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492437,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492438,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492439,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492440,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492441,4503599631492417,11821949021891618,Lyc̩e Polyvalent TOULOUSE,1,4503599631492417
4503599631492555,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492556,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492557,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492558,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492559,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492560,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492561,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492562,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492563,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492564,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492565,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492566,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492567,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492568,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492569,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492570,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492571,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492572,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492573,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492574,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492575,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492576,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492577,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492578,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492579,4503599631492417,11821949021891618,Basso Cambo TOULOUSE,0,4503599631492555
4503599631492692,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492693,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492694,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492695,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492696,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492697,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492698,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492699,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492700,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492701,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492702,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492703,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492704,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492705,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492706,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492707,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492708,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492709,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492710,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492711,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492712,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492713,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492714,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492715,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492716,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492717,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492718,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492719,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492720,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492721,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492722,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492723,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492724,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492725,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492726,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492727,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492728,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492729,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492730,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492731,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492732,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492733,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492734,4503599631491877,11821949021891619,Malep̬re TOULOUSE,1,4503599631492692
4503599631492910,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492911,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492912,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492913,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492914,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492915,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492916,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492917,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492918,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492919,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492920,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492921,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492922,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492923,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492924,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492925,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492926,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492927,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492928,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492929,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492930,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492931,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492932,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492933,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492934,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492935,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492936,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492937,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492938,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
4503599631492939,4503599631491877,11821949021891619,Cours Dillon TOULOUSE,0,4503599631492910
